FECHA_TOMA_MUESTRA;FECHA_ESTIMADA_RECUPERACION;ID_DEPARTAMENTO;DEPARTAMENTO;TOTAL
2022/05/24 00:00:00.000;2022/06/14 00:00:00.000;1;GUATEMALA;223.0
2022/06/06 00:00:00.000;2022/06/27 00:00:00.000;1;GUATEMALA;659.0
2022/06/09 00:00:00.000;2022/06/30 00:00:00.000;1;GUATEMALA;824.0
2022/06/19 00:00:00.000;2022/07/10 00:00:00.000;1;GUATEMALA;838.0
2022/06/22 00:00:00.000;2022/07/13 00:00:00.000;1;GUATEMALA;2740.0
2022/07/05 00:00:00.000;2022/07/26 00:00:00.000;1;GUATEMALA;4839.0
2022/07/08 00:00:00.000;2022/07/29 00:00:00.000;1;GUATEMALA;3611.0
2022/07/21 00:00:00.000;2022/08/11 00:00:00.000;1;GUATEMALA;1670.0
2022/07/24 00:00:00.000;2022/08/14 00:00:00.000;1;GUATEMALA;722.0
2022/08/03 00:00:00.000;2022/08/24 00:00:00.000;1;GUATEMALA;756.0
2022/08/06 00:00:00.000;2022/08/27 00:00:00.000;1;GUATEMALA;245.0
2020/05/23 00:00:00.000;2020/06/13 00:00:00.000;10;SUCHITEPEQUEZ;13.0
2020/05/26 00:00:00.000;2020/06/16 00:00:00.000;10;SUCHITEPEQUEZ;6.0
2020/06/08 00:00:00.000;2020/06/29 00:00:00.000;10;SUCHITEPEQUEZ;6.0
2020/06/21 00:00:00.000;2020/07/12 00:00:00.000;10;SUCHITEPEQUEZ;7.0
2020/06/24 00:00:00.000;2020/07/15 00:00:00.000;10;SUCHITEPEQUEZ;21.0
2020/07/07 00:00:00.000;2020/07/28 00:00:00.000;10;SUCHITEPEQUEZ;43.0
2020/07/10 00:00:00.000;2020/07/31 00:00:00.000;10;SUCHITEPEQUEZ;31.0
2020/07/23 00:00:00.000;2020/08/13 00:00:00.000;10;SUCHITEPEQUEZ;42.0
2020/08/05 00:00:00.000;2020/08/26 00:00:00.000;10;SUCHITEPEQUEZ;26.0
2020/08/08 00:00:00.000;2020/08/29 00:00:00.000;10;SUCHITEPEQUEZ;37.0
2020/08/21 00:00:00.000;2020/09/11 00:00:00.000;10;SUCHITEPEQUEZ;20.0
2020/08/24 00:00:00.000;2020/09/14 00:00:00.000;10;SUCHITEPEQUEZ;19.0
2020/09/06 00:00:00.000;2020/09/27 00:00:00.000;10;SUCHITEPEQUEZ;5.0
2020/09/09 00:00:00.000;2020/09/30 00:00:00.000;10;SUCHITEPEQUEZ;21.0
2020/09/19 00:00:00.000;2020/10/10 00:00:00.000;10;SUCHITEPEQUEZ;5.0
2020/09/22 00:00:00.000;2020/10/13 00:00:00.000;10;SUCHITEPEQUEZ;12.0
2020/10/05 00:00:00.000;2020/10/26 00:00:00.000;10;SUCHITEPEQUEZ;15.0
2020/10/08 00:00:00.000;2020/10/29 00:00:00.000;10;SUCHITEPEQUEZ;8.0
2020/10/21 00:00:00.000;2020/11/11 00:00:00.000;10;SUCHITEPEQUEZ;17.0
2020/10/24 00:00:00.000;2020/11/14 00:00:00.000;10;SUCHITEPEQUEZ;4.0
2020/11/03 00:00:00.000;2020/11/24 00:00:00.000;10;SUCHITEPEQUEZ;11.0
2020/11/06 00:00:00.000;2020/11/27 00:00:00.000;10;SUCHITEPEQUEZ;5.0
